Application,Application Version,Operating System,OS Version,Device,Application version release date,Application version age,OS Version Release date,OS version age,Note
Chrome,89.0.4389.114,Mac OS X ,11.2.2,Macintosh,3/31/21,15,2/25/21,49,
Chrome,89.0.4389.114,Mac OS X ,11.2.2,Macintosh,3/31/21,15,2/25/21,49,
Chrome,89.0.4389.90,Mac OS X ,10.15.7,Macintosh,3/12/21,34,9/23/20,204,
Chrome,89.0.4389.90,Mac OS X ,10.15.3,Macintosh,3/12/21,34,1/28/20,443,
Chrome,89.0.4389.114,Mac OS X ,11.2.1,Macintosh,3/31/21,15,2/9/21,65,
Chrome,89.0.4389.114,Mac OS X ,11.2.2,Macintosh,3/31/21,15,2/25/21,49,
Chrome,89.0.4389.114,Windows,Windows 10,Windows NT 10.0,3/31/21,15,7/29/15,2087,
Chrome,89.0.4389.114,Windows,Windows 10,Windows NT 10.0,3/31/21,15,7/29/15,2087,
Chrome,89.0.4389.114,Mac OS X ,11.2.2,Macintosh,3/31/21,15,2/25/21,49,
Safari,14.0.3,Mac OS X ,10.15.6,Macintosh,2/1/21,73,7/15/20,274,
Safari,14.0.3,Mac OS X ,10.15.6,Macintosh,2/1/21,73,7/15/20,274,
Chrome,89.0.4389.114,Mac OS X ,11.2.3,Macintosh,3/31/21,15,3/8/21,38,
CriOS,87.0.4280.77,iOS ,14.4,iPhone,11/23/20,143,1/26/21,79,UA in Chrome for iOS follow the format: CriOS/<ChromeRevision>
Safari,14.0.3,Mac OS X ,10.15.6,Macintosh,2/1/21,73,7/15/20,274,
Chrome,89.0.4389.114,Windows,Windows 10,Windows NT 10.0,3/31/21,15,7/29/15,2087,
Chrome,87.0.4280.88,Linux,,Linux Desktop on x86_64 CPU,12/4/20,132,,,
CriOS,87.0.4280.77,iOS ,14.4,iPhone,11/23/20,143,1/26/21,79,
Chrome,89.0.4389.114,Mac OS X ,11.2.3,Macintosh,3/31/21,15,3/8/21,38,
Safari,14.0.3 ,iOS ,14.4.2,iPhone,9/16/20,211,3/26/21,20,
Safari,14.0.3 ,iOS ,14.4.2,iPhone,9/16/20,211,3/26/21,20,
Chrome,87.0.4280.88,Linux,,Linux Desktop on x86_64 CPU,12/4/20,132,,,
Chrome,87.0.4280.88,Linux,,Linux Desktop on x86_64 CPU,12/4/20,132,,,
Chrome,89.0.4389.114,Windows,Windows 10,Windows NT 10.0,3/31/21,15,7/29/15,2087,
Safari,14.0.3 ,iOS ,14.4.2,iPhone,9/16/20,211,3/26/21,20,
Safari,14.0.3 ,iOS ,14.4.2,iPhone,9/16/20,211,3/26/21,20,
Safari,14.0.3 ,iOS ,14.4.2,iPhone,9/16/20,211,3/26/21,20,
Chrome,89.0.4389.105,Android,8.0.0,Samsung Galaxy S7,3/22/21,24,8/21/17,1333,Samsung Galaxy S7 (SM-G930W8) 
Chrome,89.0.4389.105,Android,8.0.0,Samsung Galaxy S7,3/22/21,24,8/21/17,1333,
